event_time,cmgr,date,close_price
2023-05-12 17:02:08.983,-5.0270815,2/1/2021,87.66
2023-05-12 17:02:09.017,-3.7269766,2/2/2021,88.86
2023-05-12 17:02:09.037,-4.777899,2/3/2021,87.89
2023-05-12 17:02:09.677,-3.254475,3/1/2021,86.39
2023-05-12 17:02:09.717,-4.528315,3/2/2021,84.13
2023-05-12 17:02:09.737,-6.402118,3/3/2021,80.86
2023-05-12 17:02:10.537,-4.2243314,4/1/2021,81.09
2023-05-12 17:02:11.317,-3.9524865,5/3/2021,78.55
2023-05-12 17:02:12.057,-2.6238322,6/1/2021,80.81
2023-05-12 17:02:12.077,-2.3458626,6/2/2021,81.97
2023-05-12 17:02:12.117,-2.7518985,6/3/2021,80.28
2023-05-12 17:02:12.857,0.18154986,7/1/2021,93.31
2023-05-12 17:02:12.877,0.42874694,7/2/2021,94.7
2023-05-12 17:02:13.617,2.3544824,8/2/2021,108.63
2023-05-12 17:02:13.657,2.8754547,8/3/2021,112.56
2023-05-12 17:02:14.457,2.216013,9/1/2021,109.99
2023-05-12 17:02:14.497,2.1239526,9/2/2021,109.2
2023-05-12 17:02:14.537,2.207879,9/3/2021,109.92
2023-05-12 17:02:15.237,1.1659751,10/1/2021,102.45
2023-05-12 17:02:16.017,3.0981019,11/1/2021,125.23
2023-05-12 17:02:16.058,3.2940025,11/2/2021,127.63
2023-05-12 17:02:16.097,3.5263407,11/3/2021,130.53
2023-05-12 17:02:16.857,4.4568257,12/1/2021,149.11
2023-05-12 17:02:16.897,4.5563354,12/2/2021,150.68
2023-05-12 17:02:16.962,4.1268697,12/3/2021,144.01
2023-05-12 17:02:17.717,4.1434574,1/3/2022,150.24
2023-05-12 17:02:18.477,1.82607,2/1/2022,116.78
2023-05-12 17:02:18.537,2.2179866,2/2/2022,122.76
2023-05-12 17:02:18.557,2.0445752,2/3/2022,120.08
2023-05-12 17:02:19.217,1.5088556,3/1/2022,113.83
2023-05-12 17:02:19.278,1.7872881,3/2/2022,118.28
2023-05-12 17:02:19.297,1.3901176,3/3/2022,111.98
2023-05-12 17:02:20.09,1.0645924,4/1/2022,108.19
2023-05-12 17:02:20.837,-0.16869424,5/2/2022,89.84
2023-05-12 17:02:20.877,-0.07970018,5/3/2022,91.13
2023-05-12 17:02:21.617,0.5441353,6/1/2022,101.22
2023-05-12 17:02:21.657,0.9606742,6/2/2022,108.59
2023-05-12 17:02:21.697,0.8341728,6/3/2022,106.3
2023-05-12 17:02:22.397,-1.2446806,7/1/2022,73.67
2023-05-12 17:02:23.137,0.24976511,8/1/2022,96.78
2023-05-12 17:02:23.177,0.3849534,8/2/2022,99.29
2023-05-12 17:02:23.217,0.32073033,8/3/2022,98.09
2023-05-12 17:02:24.017,-0.5699126,9/1/2022,82.33
2023-05-12 17:02:24.057,-0.69766504,9/2/2022,80.24
2023-05-12 17:02:24.777,-1.5766019,10/3/2022,66.11
2023-05-12 17:02:25.577,-1.9640131,11/1/2022,59.66
2023-05-12 17:02:25.597,-2.0415878,11/2/2022,58.63
2023-05-12 17:02:25.637,-1.9305217,11/3/2022,60.11
2023-05-12 17:02:26.337,-0.758087,12/1/2022,77.48
2023-05-12 17:02:26.377,-0.8995069,12/2/2022,74.98
