event_time,ticker,close_price,avg_close_price,ema_close_price,date
2023-05-12 17:02:08.343,AMD,90.33,91.80001,91.80607816589355,1/6/2021
2023-05-12 17:02:08.537,AMD,91.78,93.69125,93.24220833593749,1/13/2021
2023-05-12 17:02:08.577,AMD,90.79,93.36889,92.73216204751586,1/14/2021
2023-05-12 17:02:08.597,AMD,88.21,92.853004,91.66347258055114,1/15/2021
2023-05-12 17:02:08.637,AMD,89.45,92.56801,91.72804442108153,1/19/2021
2023-05-12 17:02:08.677,AMD,88.75,92.166,91.30585814025879,1/20/2021
2023-05-12 17:02:08.717,AMD,91.53,92.285995,91.95575249629212,1/21/2021
2023-05-12 17:02:08.857,AMD,88.84,91.098,90.78801129911805,1/27/2021
2023-05-12 17:02:08.897,AMD,87.52,90.672,89.9151893652954,1/28/2021
2023-05-12 17:02:08.943,AMD,85.64,90.157,89.00852855223084,1/29/2021
2023-05-12 17:02:08.983,AMD,87.66,90.102005,89.33154518136597,2/1/2021
2023-05-12 17:02:09.017,AMD,88.86,90.043,89.69142608085633,2/2/2021
2023-05-12 17:02:09.037,AMD,87.89,89.957,89.33126486079406,2/3/2021
2023-05-12 17:02:09.077,AMD,87.84,89.588,89.25716539488221,2/4/2021
2023-05-12 17:02:09.117,AMD,87.9,89.09901,89.02998269136047,2/5/2021
2023-05-12 17:02:09.377,AMD,89.94,90.619,90.32224223199462,2/17/2021
2023-05-12 17:02:09.417,AMD,88.64,90.69401,89.9647875305481,2/18/2021
2023-05-12 17:02:09.457,AMD,89.58,90.86801,90.32574152926635,2/19/2021
2023-05-12 17:02:09.477,AMD,85.37,90.615005,89.0504889890442,2/22/2021
2023-05-12 17:02:09.517,AMD,84.74,89.942,88.67285627897644,2/23/2021
2023-05-12 17:02:09.559,AMD,86.94,89.545,88.94960537361145,2/24/2021
2023-05-12 17:02:09.597,AMD,82.42,88.552,87.18962887570191,2/25/2021
2023-05-12 17:02:09.637,AMD,84.51,87.737,87.21580500274658,2/26/2021
2023-05-12 17:02:09.677,AMD,86.39,86.999,87.29171103877258,3/1/2021
2023-05-12 17:02:09.717,AMD,84.13,86.266,86.05057065612793,3/2/2021
2023-05-12 17:02:09.737,AMD,80.86,85.357994,84.47889402676392,3/3/2021
2023-05-12 17:02:09.777,AMD,77.75,84.269,82.84295697726441,3/4/2021
2023-05-12 17:02:09.817,AMD,78.52,83.162994,82.36850304351806,3/5/2021
2023-05-12 17:02:09.857,AMD,73.96,82.021996,80.12068480500794,3/8/2021
2023-05-12 17:02:09.897,AMD,78.53,81.401,80.86761798121644,3/9/2021
