Date,Open,High,Low,Close,Adj Close,Volume,Ignore
1/4/2021,92.110001,96.059998,90.919998,92.300003,92.300003,51802600,0
1/5/2021,92.099998,93.209999,91.410004,92.769997,92.769997,34208000,0
1/6/2021,91.620003,92.279999,89.459999,90.330002,90.330002,51911700,0
1/7/2021,91.330002,95.510002,91.199997,95.160004,95.160004,42897200,0
1/8/2021,95.980003,96.400002,93.269997,94.580002,94.580002,39816400,0
1/11/2021,94.029999,99.230003,93.760002,97.25,97.25,48600200,0
1/12/2021,97.860001,98.970001,94.07,95.360001,95.360001,67672300,0
1/13/2021,93.010002,93.889999,90.839996,91.779999,91.779999,60712900,0
1/14/2021,91.769997,92.360001,90.449997,90.790001,90.790001,53408200,0
1/15/2021,90.75,91.589996,87.860001,88.209999,88.209999,49340300,0
1/19/2021,89.559998,89.580002,87.239998,89.449997,89.449997,45115100,0
1/20/2021,90.550003,90.779999,88.599998,88.75,88.75,35185800,0
1/21/2021,89.339996,92.07,88.43,91.529999,91.529999,54221900,0
1/22/2021,94.419998,95.949997,91.879997,92.790001,92.790001,71294700,0
1/25/2021,94.139999,95.739998,91.400002,94.129997,94.129997,55086900,0
1/26/2021,94.910004,95.720001,93.629997,94.709999,94.709999,59449100,0
1/27/2021,91.099998,91.879997,86.220001,88.839996,88.839996,73341200,0
1/28/2021,89.830002,89.879997,87.300003,87.519997,87.519997,47048400,0
1/29/2021,87.559998,88.330002,85.019997,85.639999,85.639999,56735800,0
2/1/2021,86.830002,87.949997,84.660004,87.660004,87.660004,42359300,0
2/2/2021,88.489998,89.279999,86.949997,88.860001,88.860001,33850000,0
2/3/2021,88.599998,89.480003,87.339996,87.889999,87.889999,32312900,0
2/4/2021,88.220001,88.599998,87.059998,87.839996,87.839996,30791600,0
2/5/2021,88.150002,88.360001,86.879997,87.900002,87.900002,30268700,0
2/8/2021,88.309998,91.989998,87.980003,91.470001,91.470001,47639900,0
2/9/2021,91.389999,93.300003,90.550003,90.910004,90.910004,37596400,0
2/10/2021,91.5,93.269997,90.459999,92.349998,92.349998,42441300,0
2/11/2021,92.900002,93.650002,91.330002,92.660004,92.660004,35571000,0
2/12/2021,92.75,94.220001,91.900002,93.769997,93.769997,38538400,0
2/16/2021,93.900002,94,90.75,91.459999,91.459999,35105900,0
2/17/2021,90.559998,90.959999,88.57,89.940002,89.940002,32245500,0
2/18/2021,89.089996,89.599998,87.309998,88.639999,88.639999,35624900,0
2/19/2021,89.75,90.419998,88.690002,89.580002,89.580002,29548300,0
2/22/2021,88.150002,88.300003,85.209999,85.370003,85.370003,36930200,0
